agent,avg_return,std_return,deadline_hit_rate_pct,avg_latency_ms,avg_energy_j,drop_rate_pct
Random,-65.94757419905443,12.172892332277666,36.805,196.82189444888309,0.038789049535241864,24.99
Greedy,88.32543028679162,11.95284160813764,78.52,169.23379650890666,0.02665645478686355,0.0
DQN,82.0503293160181,10.201278691211455,77.15,179.05491935227934,0.029023385268657675,7.725
QRL,19.772956327122053,15.768757894370108,60.14,187.5543590905135,0.03184834090319726,7.32
